Latitude,Longitude,Category,Name,Cd_ppm_ICP61,Cr_ppm_ICP61,Dy_ppm_ICP61,Er_ppm_ICP61,Eu_ppm_ICP61,Ga_ppm_ICP61,Gd_ppm_ICP61,Ge_ppm_ICP61,Nd_ppm_ICP61,Pr_ppm_ICP61,Rb_ppm_ICP61,Te_ppm_ICP61,Tm_ppm_ICP61,Yb_ppm_ICP61
41.25123,-106.27823,cat1,1,-10,-0.1,2.3,-10,6.5,-10,1.7,0.79,0.1,12,29.2,3,0.36,3.02
41.23419,-106.27766,cat1,2,-1,234,-0.2,24.6,43,116,0.6,58,10.8,1606,2,-1,286,-0.5
41.23419,-106.27766,cat2,3,-1,239,-0.2,25.3,43.2,126,0.6,65,11,1644,2,-1,297,-0.5
41.22883,-106.28074,cat2,4,199,-0.2,264,2.7,42,2.01,1.34,0.68,1325,7.4,150,336,-0.05,177
41.22884,-106.28139,cat2,5,95,-0.2,-10,7,-10,0.46,0.13,-0.05,162,1,-5,25,-0.05,-5
41.22744,-106.2804,cat2,6,-1,1290,-0.2,96,14.5,-10,17.1,58,58.2,1193,-2,-1,609,0.8
41.22744,-106.2804,cat2,7,-1,636,-0.2,31.8,31.7,27,4.5,38,17.4,1778,-2,-1,366,-0.5
41.22744,-106.2804,cat2,8,-1,1348,-0.2,63.8,4.5,10,2,15,25.2,595,-2,-1,334,0.5
41.22744,-106.2804,cat3,9,488,-0.2,16,2.4,12,3.3,1.9,0.74,673,15.2,8,353,-0.05,50
41.22744,-106.2804,cat3,10,-1,1195,-0.2,81,12.7,16,14.8,59,48.3,1121,2,-1,570,0.7
41.21005,-106.28258,cat3,11,1.05,15,0.3,-0.2,12.3,36.8,13,0.2,-0.2,0.25,2363,51,-1,0.5
41.21005,-106.28258,cat4,12,-1,482,-0.2,14.6,11.7,39,0.8,27,7.3,974,3,-1,259,-0.5
41.21005,-106.28258,cat4,13,-1,294,-0.2,28.6,19.1,-10,0.6,54,11.4,2365,3,1,310,-0.5
41.21005,-106.28258,cat4,14,278,0.6,-10,0.2,24,15.29,9.06,2.22,1676,49.1,-5,230,0.22,19
41.21005,-106.28258,cat4,15,191,-0.2,16,-0.1,74,5.22,2.82,2.45,2068,24,-5,378,0.22,219
41.20755,-106.28191,cat5,16,174,-0.2,-10,0.5,18,3.72,2.12,1.11,270,34.9,10,403,-0.05,18
41.20755,-106.28191,cat5,17,181,-0.2,-10,0.8,20,4.11,2.49,1.12,284,38.1,11,409,-0.05,21
41.20701,-106.2816,cat5,18,422,-0.2,-10,0.5,13,0.68,0.38,0.28,54,2.6,-5,127,-0.05,8
41.20701,-106.2816,cat5,19,609,0.2,198,0.7,56,3.67,1.98,1.53,1525,20.8,141,467,-0.05,222
